event_id,event_name,neighbourhood,start_date,end_date
1,Concert,Élysée,2023-08-10,2023-08-14
2,Festival,Buttes-Montmartre,2023-03-14,2023-03-18
3,Concert,Gobelins,2023-06-23,2023-06-24
4,Conférence,Palais-Bourbon,2023-02-01,2023-02-03
5,Concert,Luxembourg,2023-03-26,2023-03-30
6,Festival,Entrepôt,2023-10-09,2023-10-12
7,Concert,Élysée,2023-02-24,2023-02-27
8,Conférence,Opéra,2023-05-16,2023-05-17
9,Salon,Palais-Bourbon,2023-04-26,2023-04-30
10,Conférence,Observatoire,2023-02-25,2023-02-27
11,Concert,Louvre,2023-08-31,2023-09-01
12,Compétition Sportive,Popincourt,2023-08-26,2023-08-28
13,Concert,Gobelins,2023-10-26,2023-10-28
14,Concert,Popincourt,2023-11-27,2023-11-30
15,Festival,Passy,2023-02-25,2023-03-01
16,Compétition Sportive,Louvre,2023-06-13,2023-06-15
17,Festival,Opéra,2023-10-14,2023-10-16
18,Festival,Popincourt,2023-01-08,2023-01-10
19,Conférence,Opéra,2023-04-10,2023-04-12
20,Salon,Batignolles-Monceau,2023-05-27,2023-05-28
21,Concert,Ménilmontant,2023-03-07,2023-03-09
22,Compétition Sportive,Buttes-Montmartre,2023-05-19,2023-05-22
23,Concert,Batignolles-Monceau,2023-07-14,2023-07-15
24,Festival,Élysée,2023-10-16,2023-10-19
25,Salon,Opéra,2023-11-05,2023-11-07
26,Festival,Hôtel-de-Ville,2023-07-14,2023-07-18
27,Concert,Buttes-Montmartre,2023-05-03,2023-05-06
28,Conférence,Ménilmontant,2023-10-22,2023-10-26
29,Concert,Popincourt,2023-09-06,2023-09-07
30,Festival,Opéra,2023-04-08,2023-04-11
31,Compétition Sportive,Louvre,2023-02-19,2023-02-21
32,Compétition Sportive,Ménilmontant,2023-10-11,2023-10-13
33,Compétition Sportive,Opéra,2023-09-27,2023-10-01
34,Compétition Sportive,Batignolles-Monceau,2023-11-04,2023-11-08
35,Compétition Sportive,Popincourt,2023-04-02,2023-04-05
36,Salon,Temple,2023-01-30,2023-02-03
37,Salon,Luxembourg,2023-06-07,2023-06-09
38,Conférence,Gobelins,2023-05-01,2023-05-05
39,Compétition Sportive,Palais-Bourbon,2023-06-04,2023-06-05
40,Festival,Batignolles-Monceau,2023-03-07,2023-03-08
41,Festival,Luxembourg,2023-04-11,2023-04-12
42,Concert,Entrepôt,2023-11-29,2023-12-03
43,Compétition Sportive,Popincourt,2023-10-22,2023-10-25
44,Festival,Hôtel-de-Ville,2023-10-11,2023-10-14
45,Conférence,Reuilly,2023-03-25,2023-03-29
46,Festival,Buttes-Chaumont,2023-11-15,2023-11-19
47,Conférence,Buttes-Montmartre,2023-12-25,2023-12-26
48,Compétition Sportive,Opéra,2023-02-24,2023-02-28
49,Concert,Vaugirard,2023-08-30,2023-09-02
50,Concert,Louvre,2023-05-26,2023-05-27
51,Salon,Vaugirard,2023-06-11,2023-06-15
52,Compétition Sportive,Ménilmontant,2023-07-04,2023-07-06
53,Festival,Palais-Bourbon,2023-06-22,2023-06-25
54,Concert,Opéra,2023-03-22,2023-03-23
55,Conférence,Vaugirard,2023-01-31,2023-02-01
56,Conférence,Buttes-Chaumont,2023-10-18,2023-10-19
57,Festival,Hôtel-de-Ville,2023-06-16,2023-06-19
58,Festival,Gobelins,2023-09-18,2023-09-20
59,Compétition Sportive,Buttes-Montmartre,2023-06-05,2023-06-09
60,Festival,Gobelins,2023-04-27,2023-04-30
61,Festival,Gobelins,2023-01-07,2023-01-08
62,Festival,Hôtel-de-Ville,2023-12-28,2024-01-01
63,Concert,Reuilly,2023-09-03,2023-09-06
64,Compétition Sportive,Vaugirard,2023-10-25,2023-10-27
65,Festival,Buttes-Chaumont,2023-11-09,2023-11-11
66,Festival,Passy,2023-08-18,2023-08-22
67,Conférence,Bourse,2023-12-05,2023-12-09
68,Concert,Popincourt,2023-05-04,2023-05-07
69,Festival,Palais-Bourbon,2023-08-05,2023-08-07
70,Concert,Panthéon,2023-11-15,2023-11-18
71,Compétition Sportive,Bourse,2023-01-18,2023-01-21
72,Compétition Sportive,Opéra,2023-04-27,2023-05-01
73,Salon,Temple,2023-08-27,2023-08-29
