date,city,seasons,temperature_c,rainfall_mm
2024-11-23,Hôtel-de-Ville,Autumn,13.3,4.1
2024-09-24,Popincourt,Autumn,13.8,3.1
2024-09-27,Popincourt,Autumn,14.7,2.2
2024-10-11,Popincourt,Autumn,15.7,1.4
2024-11-01,Buttes-Chaumont,Autumn,18.0,4.8
2023-06-25,Louvre,Summer,23.4,0.2
2024-08-07,Reuilly,Summer,29.1,0.3
2024-10-18,Élysée,Autumn,9.6,0.2
2024-10-12,Panthéon,Autumn,16.6,1.3
2024-08-04,Vaugirard,Summer,22.8,3.0
2024-10-08,Buttes-Chaumont,Autumn,13.4,12.0
2024-08-01,Entrepôt,Summer,18.2,4.4
2024-08-03,Panthéon,Summer,28.7,0.7
2024-11-15,Reuilly,Autumn,13.2,3.4
2024-11-18,Palais-Bourbon,Autumn,14.4,1.2
2024-08-08,Buttes-Montmartre,Summer,26.6,0.5
2021-09-16,Reuilly,Autumn,13.6,0.1
2019-07-03,Buttes-Montmartre,Summer,32.6,0.8
2019-06-08,Entrepôt,Summer,21.4,0.5
2020-10-28,Buttes-Montmartre,Autumn,13.1,0.3
2024-11-13,Buttes-Montmartre,Autumn,9.9,16.2
2022-06-23,Passy,Summer,26.2,0.1
2018-09-15,Hôtel-de-Ville,Autumn,5.4,3.3
2024-11-21,Hôtel-de-Ville,Autumn,13.6,2.5
2024-10-27,Passy,Autumn,8.1,1.1
2024-10-12,Buttes-Chaumont,Autumn,11.5,3.4
2024-11-01,Entrepôt,Autumn,4.5,2.5
2023-05-07,Entrepôt,Spring,14.2,2.3
2024-09-20,Temple,Autumn,10.4,9.5
2019-10-27,Buttes-Chaumont,Autumn,14.3,2.2
2024-10-08,Ménilmontant,Autumn,12.9,5.2
2024-10-21,Batignolles-Monceau,Autumn,5.8,2.2
2024-07-16,Opéra,Summer,34.6,3.9
2024-06-30,Panthéon,Summer,25.2,0.6
2024-11-10,Entrepôt,Autumn,17.2,3.6
2012-01-07,Luxembourg,Winter,6.0,0.6
2024-08-13,Buttes-Montmartre,Summer,28.8,1.6
2024-11-20,Luxembourg,Autumn,12.5,7.5
2024-10-25,Bourse,Autumn,10.0,0.1
2023-12-08,Observatoire,Winter,5.8,1.1
2024-04-05,Entrepôt,Spring,2.1,13.7
2019-06-15,Popincourt,Summer,30.8,6.6
2019-09-28,Gobelins,Autumn,13.9,0.6
2024-10-06,Temple,Autumn,9.9,1.3
2024-08-04,Panthéon,Summer,18.7,9.4
2024-08-28,Gobelins,Summer,25.1,1.9
2018-05-01,Entrepôt,Spring,9.5,0.8
2024-08-28,Entrepôt,Summer,22.0,2.2
2024-10-20,Opéra,Autumn,12.5,2.5
2024-10-04,Popincourt,Autumn,5.9,3.5
2024-10-15,Bourse,Autumn,10.7,2.3
2023-09-18,Passy,Autumn,20.8,9.8
2024-08-11,Buttes-Chaumont,Summer,28.9,7.6
2021-07-15,Buttes-Chaumont,Summer,24.0,0.7
2024-11-17,Palais-Bourbon,Autumn,2.8,2.3
2024-11-13,Entrepôt,Autumn,10.5,1.3
2024-08-12,Buttes-Chaumont,Summer,26.0,0.1
2017-10-10,Ménilmontant,Autumn,11.1,0.4
2021-02-15,Ménilmontant,Winter,3.8,3.0
2024-10-06,Hôtel-de-Ville,Autumn,9.6,1.6
2024-08-10,Buttes-Montmartre,Summer,24.4,2.4
2015-10-05,Popincourt,Autumn,12.8,1.7
2017-06-04,Ménilmontant,Summer,24.5,0.1
2018-10-25,Entrepôt,Autumn,15.7,1.5
2024-10-28,Temple,Autumn,12.1,0.1
2023-06-21,Entrepôt,Summer,21.8,2.4
2024-11-24,Louvre,Autumn,14.2,2.4
2024-08-20,Buttes-Chaumont,Summer,23.7,4.0
2024-10-17,Buttes-Montmartre,Autumn,17.8,5.0
2024-11-18,Élysée,Autumn,7.4,3.1
2024-10-05,Temple,Autumn,5.1,6.1
2024-11-30,Bourse,Autumn,17.5,0.1
2024-10-20,Observatoire,Autumn,7.7,0.4
2024-11-21,Louvre,Autumn,11.7,0.1
2024-12-01,Reuilly,Winter,6.7,1.1
2024-12-01,Reuilly,Winter,8.1,1.7
2024-06-08,Popincourt,Summer,26.5,1.3
2019-10-24,Observatoire,Autumn,8.7,0.6
2024-11-24,Hôtel-de-Ville,Autumn,9.9,5.0
2023-10-21,Gobelins,Autumn,16.1,0.6
2024-11-17,Popincourt,Autumn,7.1,2.6
2012-10-24,Buttes-Chaumont,Autumn,5.2,2.5
2024-11-13,Luxembourg,Autumn,13.1,2.1
2024-05-10,Opéra,Spring,16.0,8.8
2018-07-15,Bourse,Summer,30.8,1.3
2024-11-17,Hôtel-de-Ville,Autumn,18.9,2.6
2024-09-10,Opéra,Autumn,12.5,3.1
2024-12-02,Batignolles-Monceau,Winter,8.6,3.9
2019-10-27,Buttes-Chaumont,Autumn,10.6,3.8
2024-09-29,Buttes-Montmartre,Autumn,11.7,4.3
2023-10-07,Observatoire,Autumn,11.7,6.6
2024-11-11,Popincourt,Autumn,7.0,0.2
2023-11-06,Hôtel-de-Ville,Autumn,17.7,4.4
2024-11-20,Bourse,Autumn,13.7,1.8
2024-10-27,Hôtel-de-Ville,Autumn,9.2,1.2
2024-11-10,Hôtel-de-Ville,Autumn,12.0,0.4
2024-07-31,Hôtel-de-Ville,Summer,23.9,3.9
2024-08-10,Bourse,Summer,19.2,6.3
2023-11-05,Ménilmontant,Autumn,12.0,1.8
2024-06-17,Louvre,Summer,27.4,4.5
2024-08-06,Élysée,Summer,37.8,0.4
2024-11-29,Buttes-Montmartre,Autumn,16.7,4.2
2024-08-16,Élysée,Summer,25.0,2.5
2024-11-12,Buttes-Chaumont,Autumn,17.8,1.1
2023-10-27,Entrepôt,Autumn,0.5,1.2
2024-08-05,Buttes-Chaumont,Summer,21.1,1.4
2023-11-02,Panthéon,Autumn,7.7,0.8
2024-11-14,Louvre,Autumn,8.3,4.3
2024-07-20,Gobelins,Summer,26.0,5.4
2024-10-22,Reuilly,Autumn,9.4,3.6
2024-08-31,Hôtel-de-Ville,Summer,23.8,0.2
2015-10-14,Popincourt,Autumn,12.6,2.1
2024-11-02,Buttes-Montmartre,Autumn,16.0,1.4
2024-05-20,Vaugirard,Spring,23.6,0.8
2024-10-14,Louvre,Autumn,12.8,1.3
2019-09-23,Ménilmontant,Autumn,10.0,0.1
2023-10-03,Popincourt,Autumn,8.3,1.2
2024-06-15,Vaugirard,Summer,25.0,6.5
2024-08-03,Élysée,Summer,19.7,2.6
2024-10-15,Panthéon,Autumn,9.5,2.1
2024-08-25,Buttes-Montmartre,Summer,22.5,3.5
2024-08-09,Popincourt,Summer,26.9,2.5
2020-02-20,Temple,Winter,0.1,6.3
2024-11-17,Popincourt,Autumn,8.9,8.8
2024-10-26,Entrepôt,Autumn,11.5,2.1
2024-10-20,Entrepôt,Autumn,4.8,4.1
2024-11-24,Temple,Autumn,9.7,3.1
2024-10-23,Passy,Autumn,8.5,5.6
2024-08-12,Panthéon,Summer,23.5,5.9
2024-11-09,Buttes-Montmartre,Autumn,12.7,2.3
2022-09-30,Buttes-Montmartre,Autumn,9.9,0.9
2024-08-18,Hôtel-de-Ville,Summer,25.8,6.0
2024-08-07,Entrepôt,Summer,23.6,4.0
2024-11-18,Bourse,Autumn,15.3,1.7
2024-12-02,Entrepôt,Winter,5.5,3.7
2012-05-27,Popincourt,Spring,14.7,1.5
2015-05-27,Palais-Bourbon,Spring,17.2,4.2
2024-10-18,Buttes-Montmartre,Autumn,18.6,3.2
2024-08-11,Reuilly,Summer,20.2,2.9
2024-12-05,Buttes-Chaumont,Winter,2.7,5.1
2024-10-14,Luxembourg,Autumn,16.0,9.0
2024-07-13,Entrepôt,Summer,27.7,2.7
2023-06-19,Panthéon,Summer,27.1,1.9
2024-08-29,Buttes-Chaumont,Summer,12.1,0.4
2024-10-26,Buttes-Montmartre,Autumn,11.2,0.3
2022-12-23,Ménilmontant,Winter,6.9,12.6
2024-05-31,Popincourt,Spring,12.5,4.2
2018-10-25,Buttes-Chaumont,Autumn,17.3,8.1
2019-01-01,Luxembourg,Winter,3.8,0.0
2024-10-21,Buttes-Montmartre,Autumn,12.6,6.2
2024-05-01,Popincourt,Spring,20.2,2.0
2024-05-31,Popincourt,Spring,18.8,3.8
2024-10-21,Vaugirard,Autumn,13.7,0.6
2024-08-31,Hôtel-de-Ville,Summer,23.2,0.8
2024-10-20,Temple,Autumn,15.7,6.6
2024-10-30,Louvre,Autumn,9.0,1.3
2024-09-19,Panthéon,Autumn,8.6,5.1
2020-01-28,Luxembourg,Winter,0.6,0.6
2024-11-03,Élysée,Autumn,13.9,0.4
2023-05-21,Buttes-Chaumont,Spring,11.4,4.7
2018-08-22,Bourse,Summer,18.9,1.2
2024-12-05,Buttes-Montmartre,Winter,1.8,0.5
2023-10-13,Entrepôt,Autumn,18.7,0.3
2018-10-11,Hôtel-de-Ville,Autumn,10.1,1.3
2024-12-09,Hôtel-de-Ville,Winter,9.9,11.4
2023-08-14,Entrepôt,Summer,24.0,4.2
2024-08-15,Gobelins,Summer,32.1,0.9
2024-10-27,Buttes-Montmartre,Autumn,13.5,0.9
2024-09-30,Entrepôt,Autumn,13.4,0.4
2024-11-29,Entrepôt,Autumn,12.8,2.7
2024-11-30,Buttes-Montmartre,Autumn,18.2,0.8
2024-11-25,Reuilly,Autumn,11.6,5.8
2024-11-02,Temple,Autumn,12.1,0.2
2024-08-04,Batignolles-Monceau,Summer,21.4,0.2
2024-10-12,Temple,Autumn,5.7,0.4
2024-10-21,Temple,Autumn,8.8,0.3
2020-01-03,Entrepôt,Winter,3.3,8.0
2024-10-20,Popincourt,Autumn,6.8,2.8
2024-08-12,Ménilmontant,Summer,20.5,1.3
2024-11-23,Popincourt,Autumn,5.0,5.6
2024-10-09,Hôtel-de-Ville,Autumn,8.7,2.2
2023-05-02,Reuilly,Spring,19.1,9.8
2024-08-10,Ménilmontant,Summer,31.9,0.2
2020-03-16,Buttes-Montmartre,Spring,3.8,2.0
2018-10-02,Passy,Autumn,12.3,10.1
2017-06-27,Popincourt,Summer,26.0,0.1
2015-10-18,Vaugirard,Autumn,9.5,4.6
2024-11-21,Gobelins,Autumn,8.5,4.0
2024-10-21,Buttes-Montmartre,Autumn,8.7,5.9
2024-08-11,Buttes-Chaumont,Summer,20.9,3.8
2024-07-17,Temple,Summer,30.2,2.1
2024-08-09,Entrepôt,Summer,29.3,0.4
2024-07-29,Buttes-Chaumont,Summer,29.2,0.2
2024-09-08,Hôtel-de-Ville,Autumn,10.1,3.6
2024-10-27,Buttes-Montmartre,Autumn,8.8,1.3
2018-07-21,Reuilly,Summer,26.6,8.0
2024-09-22,Temple,Autumn,12.2,0.3
2018-10-10,Batignolles-Monceau,Autumn,15.6,3.7
2024-08-10,Observatoire,Summer,23.0,2.7
2024-11-29,Temple,Autumn,10.4,1.0
2024-05-31,Passy,Spring,19.0,9.5
2024-08-02,Louvre,Summer,25.8,2.3
2024-08-04,Ménilmontant,Summer,16.5,2.2
2024-10-19,Ménilmontant,Autumn,16.8,1.8
2024-04-26,Bourse,Spring,24.0,0.7
2024-09-29,Bourse,Autumn,14.7,1.8
2024-12-02,Panthéon,Winter,6.1,3.9
2024-11-28,Bourse,Autumn,15.6,0.0
2016-07-05,Temple,Summer,28.3,1.0
2024-08-24,Élysée,Summer,29.1,2.8
2024-12-03,Buttes-Montmartre,Winter,3.4,8.2
2024-09-30,Panthéon,Autumn,1.0,3.9
2024-12-01,Buttes-Montmartre,Winter,5.2,6.3
2024-12-03,Buttes-Montmartre,Winter,2.3,6.3
2023-10-31,Buttes-Chaumont,Autumn,9.9,0.7
2024-10-28,Entrepôt,Autumn,18.4,13.7
2024-11-22,Batignolles-Monceau,Autumn,9.6,1.0
2024-11-15,Temple,Autumn,10.3,4.7
2024-10-05,Passy,Autumn,16.1,0.4
2018-04-06,Opéra,Spring,17.1,1.7
2018-12-29,Passy,Winter,4.1,3.4
2023-10-11,Reuilly,Autumn,8.7,30.3
2023-07-21,Popincourt,Summer,24.9,2.0
2024-08-08,Entrepôt,Summer,23.7,0.7
2023-07-17,Batignolles-Monceau,Summer,21.1,3.6
2021-07-17,Buttes-Chaumont,Summer,22.8,0.3
2024-12-07,Bourse,Winter,6.0,9.3
2012-07-10,Buttes-Chaumont,Summer,18.1,0.8
2024-11-10,Buttes-Montmartre,Autumn,10.4,1.9
2024-08-06,Hôtel-de-Ville,Summer,27.1,1.1
2018-07-19,Popincourt,Summer,21.4,0.3
2014-10-11,Louvre,Autumn,14.4,1.8
2023-08-11,Ménilmontant,Summer,28.0,0.4
2024-11-18,Entrepôt,Autumn,8.2,4.4
2024-10-05,Buttes-Montmartre,Autumn,15.1,1.4
2023-11-24,Élysée,Autumn,9.5,2.8
2019-01-01,Buttes-Chaumont,Winter,3.0,10.6
2024-10-17,Louvre,Autumn,7.5,3.1
2024-07-18,Temple,Summer,25.2,1.6
2022-07-18,Opéra,Summer,29.5,7.9
2024-01-14,Luxembourg,Winter,7.0,0.5
2024-12-03,Louvre,Winter,9.8,2.5
2024-11-20,Hôtel-de-Ville,Autumn,14.9,1.3
2024-12-01,Hôtel-de-Ville,Winter,4.6,1.2
2024-11-29,Gobelins,Autumn,6.5,3.8
2024-10-24,Gobelins,Autumn,14.0,2.3
2024-10-24,Batignolles-Monceau,Autumn,16.2,10.4
2024-10-06,Ménilmontant,Autumn,9.3,0.6
2024-10-22,Temple,Autumn,10.1,0.9
2022-08-21,Buttes-Chaumont,Summer,26.0,2.3
2024-10-30,Buttes-Montmartre,Autumn,10.4,3.1
2023-09-01,Buttes-Chaumont,Autumn,11.1,4.2
2024-11-02,Temple,Autumn,7.1,2.2
2024-07-30,Luxembourg,Summer,34.4,6.2
2023-08-11,Louvre,Summer,27.3,3.7
